,Potential_Customer,Cust_Last_Purchase,Pur_3_years,Pur_5_years,Pur_3_years_Indirect,Pur_5_years_Indirect,Pur_latest,Pur_3_years_Avg,Pur_5_years_Avg,Pur_3_years_Avg_Indirect,InAct_Last,InAct_First,Ad_Res_1_year,Ad_Res_Ind_1_Year,Status_Cust,Status_Latest_Ad,Age,Gender,Cust_Prop,Cust_Ann_Income,Total_5_yrs_purchase
868,1,20,2,6,1,2,20,16,13.17,20,17,76,13,6,A,0,39,F,H,42230,8
869,0,0,2,13,1,4,20,15,12.31,20,4,119,26,4,A,1,60,M,H,39689,17
870,1,25,1,2,1,2,20,20,15,20,20,35,10,4,A,0,47,M,H,50359,4
871,1,20,1,8,1,3,20,20,9.38,20,18,81,13,6,A,1,86,F,H,51648,11
872,1,20,6,10,5,6,20,17,15.3,19,8,41,29,6,S,1,48,F,H,57365,16
873,1,30,1,2,0,1,20,20,15,0,26,53,10,4,A,0,55,F,U,44284.5,3
874,1,25,5,12,4,6,20,29,26.25,28.25,16,109,28,11,A,1,80,M,H,37481,18
875,1,35,1,5,0,2,20,20,9.4,0,19,66,15,6,A,0,79,M,H,45651,7
876,0,0,3,4,2,3,20,10.67,9.25,12.5,16,41,6,2,E,0,60,M,U,44284.5,7
877,1,20,2,3,1,1,20,17.5,15,20,17,44,14,6,A,0,71,F,H,33933,4
878,0,0,2,3,0,1,20,15,11.67,0,20,44,12,6,A,0,60,F,U,40685,4
879,1,25,2,2,1,1,20,15,15,10,18,32,10,4,A,0,60,F,U,48398,3
880,0,0,1,6,1,4,20,20,15,20,19,67,13,6,A,0,60,M,U,33556,10
881,1,15,2,7,1,4,20,20,17.71,20,24,62,12,6,A,1,67,F,H,41426,11
882,0,0,3,4,2,2,20,16.67,17.5,15,21,32,12,6,A,0,57,F,H,51657,6
883,0,0,2,4,0,0,20,20,13.75,0,18,51,12,6,A,0,60,M,U,44284.5,4
884,0,0,1,1,1,1,20,20,20,20,24,24,7,3,N,0,59,M,U,44876,2
885,0,0,1,2,0,0,20,10,15,0,26,28,9,4,A,0,47,F,H,88242,2
886,1,10,4,5,3,3,20,13.75,12,16.67,16,32,14,6,A,1,60,F,U,44284.5,8
887,0,0,2,7,0,4,20,20,14.43,0,19,99,13,6,A,1,60,M,U,44284.5,11
888,1,15,5,19,3,9,20,14,8.16,15,15,93,14,6,S,1,60,F,U,71308,28
889,0,0,1,1,0,0,20,20,20,0,16,16,12,5,F,0,37,M,H,71308,1
890,0,0,3,4,1,2,20,14.67,12.25,15,19,44,12,6,A,0,65,F,H,43759,6
891,1,20,2,2,2,2,20,15,15,15,22,29,10,4,A,0,53,F,H,33421,4
892,0,0,1,1,1,1,20,20,20,20,23,23,8,3,N,0,76,M,H,57220,2
893,1,20,2,8,1,4,20,12.5,10,20,16,81,15,5,A,0,70,F,H,34142,12
894,0,0,1,1,0,0,20,20,20,0,20,20,10,4,F,0,49,F,H,33333,1
895,0,0,3,4,2,2,20,16,16,14,18,29,12,6,A,0,78,F,U,31354,6
896,0,0,3,3,1,1,20,15.33,15.33,16,19,31,12,6,A,0,66,M,U,44284.5,4
897,0,0,2,6,1,4,20,17.5,10.83,15,19,91,13,6,A,0,54,F,U,44284.5,10
898,1,10,1,15,1,8,20,20,6.27,20,21,131,14,6,A,1,60,F,U,41408,23
899,1,20,2,10,0,6,20,15,6.9,0,18,105,13,6,A,0,75,F,U,49425,16
900,0,0,2,5,1,3,20,17.5,12.8,15,26,76,10,5,A,0,56,M,U,46217,8
901,1,5,5,5,3,3,20,15.6,15.6,14.33,18,35,13,6,A,0,53,M,H,61834,8
902,0,0,2,3,1,2,20,13.5,10.67,7,18,43,12,6,A,0,54,F,H,60000,5
903,0,0,3,4,0,0,20,10.67,9.25,0,15,42,10,4,A,0,55,F,H,60000,4
904,0,0,3,17,2,15,20,16.67,9.12,15,15,130,12,6,S,1,73,F,U,37797,32
905,1,40,1,11,1,5,20,20,5.64,20,25,100,11,6,A,0,60,F,U,55217,16
906,0,0,1,1,0,0,20,20,20,0,16,16,12,5,F,0,33,M,H,48631,1
907,1,20,1,1,1,1,20,20,20,20,17,17,10,4,F,0,60,F,H,60250,2
908,0,0,1,1,1,1,20,20,20,20,17,17,10,4,F,0,85,F,H,54501,2
909,0,0,2,5,0,2,20,22.5,15,0,15,104,12,5,A,0,60,F,H,53357,7
910,0,0,4,7,3,4,20,17,15.43,16,26,40,10,5,A,1,33,F,H,21624,11
911,0,0,2,15,1,8,20,22.5,12,25,19,128,13,6,A,1,47,F,H,45666,23
912,0,0,1,1,1,1,20,20,20,20,17,17,10,4,F,0,30,F,U,52096,2
913,0,0,1,6,1,2,20,20,10.83,20,26,89,10,5,A,0,49,F,U,44284.5,8
914,1,25,1,6,0,1,20,20,10.67,0,18,65,13,6,A,0,60,M,H,46245,7
915,1,25,1,3,0,1,20,20,11.67,0,22,44,12,6,A,0,51,M,H,41395,4
916,0,0,1,1,1,1,20,20,20,20,21,21,8,3,N,0,37,F,U,41395,2
917,0,0,3,3,3,3,20,20,20,20,21,33,12,6,A,1,53,M,H,43865,6
918,0,0,2,6,1,5,20,15,9.5,10,19,76,11,4,A,1,60,F,U,47969,11
919,0,0,5,5,2,2,20,17,17,20,16,31,14,6,A,0,60,F,U,38699,7
920,1,25,2,16,1,10,20,20,15,20,19,130,13,6,A,1,42,F,U,44284.5,26
921,0,0,3,9,2,7,20,16,11.22,17,21,77,13,6,A,1,68,F,H,31336,16
922,0,0,2,9,1,2,20,18.5,10.78,17,20,69,13,6,A,0,60,F,U,44284.5,11
923,0,0,2,2,2,2,20,20,20,20,21,28,10,4,A,0,35,F,H,42512,4
924,1,30,1,1,1,1,20,20,20,20,21,21,10,4,F,0,42,F,U,39399,2
925,0,0,3,3,2,2,20,18.33,18.33,20,21,29,12,6,A,0,68,F,H,23527,5
926,1,5,1,1,1,1,20,20,20,20,18,18,10,4,F,0,36,F,U,28039,2
927,1,50,2,2,1,1,20,20,20,20,19,30,11,3,A,0,60,M,U,44284.5,3
928,0,0,3,4,2,3,20,16.33,14.75,17.5,23,41,12,6,A,0,59,F,H,55638,7
929,0,0,4,5,3,3,20,17.5,16,18.33,24,39,11,6,A,1,71,F,H,30690,8
930,0,0,3,4,1,2,20,16,14.5,16,19,39,12,6,A,0,60,M,H,35262,6
931,0,0,1,3,1,2,20,20,11,20,23,52,12,6,A,0,66,F,U,56002,5
932,0,0,4,16,3,12,20,21.25,16.56,21.67,22,126,7,4,A,1,60,F,U,46288,28
933,0,0,1,3,1,3,20,20,13.33,20,21,53,12,6,A,0,50,M,U,75325,6
934,1,40,1,1,0,0,20,20,20,0,15,15,11,5,F,0,60,M,U,32054,1
935,0,0,3,4,2,2,20,10.67,10.5,6,19,29,12,6,A,1,45,M,H,51586,6
936,0,0,3,6,3,4,20,16.33,11.5,16.33,16,44,14,6,A,0,56,F,H,44767,10
937,0,0,4,7,1,2,20,12.5,12.57,10,18,40,13,6,A,1,78,F,H,24813,9
938,1,20,1,1,1,1,20,20,20,20,24,24,7,3,N,0,59,F,H,62350,2
939,1,30,2,13,0,7,20,20,15.85,0,19,99,13,6,A,1,44,F,H,94790,20
940,0,0,1,4,0,2,20,20,11.75,0,24,76,9,4,A,0,60,M,U,43355,6
941,0,0,2,12,0,4,20,21,10.42,0,18,104,13,6,A,0,49,M,H,41019,16
942,1,21,3,5,1,2,20,16.67,13,20,20,41,13,6,A,0,51,F,H,40136,7
943,0,0,1,14,1,7,20,20,13.21,20,27,129,8,4,A,1,49,F,U,45037,21
944,0,0,3,3,0,0,20,10.67,10.67,0,15,31,11,5,A,0,41,F,U,32514,3
945,0,0,3,20,3,8,20,18.67,11,18.67,21,91,18,7,A,1,71,M,H,33545,28
946,0,0,1,13,0,7,20,20,17.38,0,25,129,12,6,A,1,64,M,H,27307,20
947,0,0,1,9,0,5,20,20,11.11,0,18,127,13,6,A,1,57,M,H,32207,14
948,0,0,2,6,2,4,20,15,9.17,15,16,69,14,6,A,0,60,F,U,44284.5,10
949,0,0,4,15,2,6,20,17.5,14.33,20,22,102,5,4,A,1,60,F,U,44284.5,21
950,1,15,2,5,2,4,20,20,15,20,24,86,9,4,A,0,68,F,H,58769,9
951,0,0,2,14,1,7,20,22.5,13.57,25,20,126,14,6,A,1,87,F,U,43703,21
952,0,0,3,3,1,1,20,15.33,15.33,16,18,31,12,6,A,0,60,F,U,31742,4
953,0,0,1,6,1,4,20,20,10.17,20,21,56,13,6,A,0,64,M,H,28268,10
954,1,20,2,6,1,2,20,22.5,15,25,25,53,13,6,A,0,46,M,H,44284.5,8
955,1,20,1,1,1,1,20,20,20,20,24,24,8,3,N,0,60,F,H,38292,2
956,0,0,2,2,1,1,20,12.5,12.5,5,27,33,9,4,A,0,57,M,U,58063,3
957,1,20,3,17,2,8,20,19.33,10.65,19,15,121,14,6,A,1,70,F,U,37031,25
958,0,0,1,1,1,1,20,20,20,20,17,17,10,4,F,0,26,F,U,45928,2
959,0,0,1,1,0,0,20,20,20,0,16,16,12,5,F,0,66,F,H,41069,1
960,1,20,1,6,0,2,20,20,12.33,0,19,52,13,6,A,0,60,M,U,44284.5,8
961,1,20,2,7,1,4,20,20,12.71,20,20,57,13,6,A,1,46,F,H,75367,11
962,0,0,5,5,3,3,20,20,20,20,15,32,14,6,S,1,41,M,U,88241,8
963,0,0,1,13,1,11,20,20,6.54,20,26,130,9,4,A,1,60,F,U,44284.5,24
964,1,10,2,29,1,16,20,20,10.55,20,24,128,12,6,S,1,60,F,U,44284.5,45
965,0,0,3,3,1,1,20,16.67,16.67,5,20,33,13,6,A,0,47,F,H,30032,4
966,1,5,5,19,4,16,20,8.4,5.74,8.75,17,122,13,6,S,1,60,M,U,23500,35
967,0,0,2,2,2,2,20,15,15,15,16,28,12,5,A,0,45,F,H,40054,4
968,0,0,1,1,1,1,20,20,20,20,24,24,7,3,N,0,45,F,U,32989,2
969,0,0,2,4,0,1,20,15,8.75,0,15,40,11,5,A,0,47,M,H,24102,5
970,1,10,2,9,1,4,20,18,13.56,16,25,95,11,6,A,1,60,F,U,22654,13
971,0,0,2,11,1,8,20,15,8.82,10,26,127,10,5,A,1,60,M,H,44415,19
972,1,16,2,3,1,1,20,8.5,12.33,12,15,32,13,5,A,0,74,M,H,38796,4
973,1,20,1,5,1,4,20,20,10.4,20,20,98,12,4,A,0,49,M,U,31950,9
974,0,0,1,1,1,1,20,20,20,20,17,17,10,4,F,0,69,F,H,23157,2
975,1,10,2,5,0,3,20,15,20,0,18,88,14,6,A,0,64,M,H,22716,8
976,0,0,2,5,0,1,20,15,10,0,18,45,13,6,A,0,60,F,U,44284.5,6
977,0,0,4,9,2,4,20,17.5,13.56,17.5,8,53,22,9,F,1,35,M,H,82313,13
978,0,0,1,8,0,4,20,20,11.13,0,26,98,10,5,A,0,60,F,H,46960,12
979,0,0,1,1,0,0,20,20,20,0,18,18,10,4,F,0,78,F,H,52067,1
980,0,0,1,1,1,1,20,20,20,20,17,17,10,4,F,0,59,F,H,46893,2
981,1,25,2,2,1,1,20,13.5,13.5,7,18,28,10,4,A,0,42,F,U,44284.5,3
982,0,0,1,1,1,1,20,20,20,20,16,16,12,5,F,0,29,M,H,45840,2
983,0,0,2,2,2,2,20,20,20,20,22,29,10,4,A,0,60,F,U,61541,4
984,0,0,2,3,1,1,20,15,11.67,20,26,43,10,5,A,0,67,F,H,79633,4
985,1,5,2,8,1,4,20,16.5,13,13,19,86,13,6,A,0,40,F,H,90213,12
986,0,0,1,10,0,4,20,15,9.9,0,18,78,10,5,S,1,61,F,U,44284.5,14
987,1,15,5,6,2,3,20,16.8,14.83,18.5,16,45,15,6,A,0,60,F,H,59106,9
988,0,0,1,4,0,2,20,20,14.25,0,26,74,9,4,A,0,43,M,U,44284.5,6
989,0,0,3,3,2,2,20,10,10,5,20,33,12,6,A,1,55,F,H,43796,5
990,1,20,1,1,1,1,20,20,20,20,16,16,13,5,F,0,60,F,U,52305,2
991,1,20,2,6,0,1,20,18.5,17.17,0,18,63,10,4,A,0,79,F,H,55011,7
992,0,0,2,4,1,2,20,15,10.5,20,24,41,11,6,A,0,41,F,H,56098,6
993,0,0,3,7,1,3,20,20,17.14,20,19,44,13,6,A,1,48,M,H,83231,10
994,0,0,1,1,0,0,20,20,20,0,15,15,8,3,E,0,59,M,H,56335,1
995,0,0,2,11,1,7,20,23.5,17.64,22,8,125,16,6,A,0,78,M,H,47070,18
996,1,20,2,2,0,0,20,17.5,17.5,0,18,28,10,4,A,0,33,M,H,53504,2
997,1,25,1,1,0,0,20,20,20,0,20,20,10,4,F,0,48,M,H,49791,1
998,1,20,2,2,1,1,20,20,20,20,19,29,10,4,A,0,60,M,H,62349,3
999,0,0,1,1,1,1,20,20,20,20,24,24,8,3,N,0,45,F,H,51293,2
1000,0,0,2,15,1,9,20,20,9,20,16,127,12,6,S,1,83,F,U,47016,24
1001,0,0,5,6,2,2,20,9.8,9,6,18,39,13,6,A,1,74,F,U,47016,8
1002,0,0,3,10,1,6,20,20,16.6,20,25,127,11,6,A,1,43,F,U,44284.5,16
1003,0,0,1,7,1,5,20,20,20.71,20,16,105,6,1,E,0,60,F,U,44284.5,12
1004,0,0,3,6,2,4,20,20,13.67,20,16,57,13,6,S,1,56,M,H,51348,10
1005,0,0,1,4,1,4,20,20,11.75,20,21,50,12,6,A,1,60,F,H,43694,8
1006,0,0,2,15,0,7,20,16.5,8.27,0,17,122,13,6,A,1,63,F,H,40313,22
1007,1,20,3,4,2,2,20,20,20,20,15,28,12,6,A,1,60,F,U,47212,6
1008,0,0,1,6,0,1,20,20,16.17,0,26,56,10,5,A,0,60,M,U,48911,7
1009,1,25,1,1,0,0,20,20,20,0,20,20,10,4,F,0,60,F,U,44284.5,1
1010,0,0,4,12,3,7,20,18.5,11.92,18,17,65,14,6,S,1,85,F,H,46400,19
1011,0,0,3,5,2,2,20,20,16.4,20,22,44,12,6,A,0,49,F,U,44284.5,7
1012,0,0,1,1,1,1,20,20,20,20,21,21,10,4,F,0,79,F,H,43100,2
1013,0,0,1,1,1,1,20,20,20,20,16,16,12,5,F,0,49,M,H,44421,2
1014,0,0,2,11,0,2,20,22.5,15.64,0,20,102,18,6,A,0,60,F,H,57372,13
1015,0,0,1,2,0,0,20,20,12.5,0,18,35,11,4,A,0,57,F,H,50030,2
1016,1,10,2,2,2,2,20,15,15,15,23,29,10,4,A,0,47,F,H,55282,4
1017,0,0,1,2,1,2,20,20,15,20,20,44,11,4,A,0,34,F,U,41963,4
1018,1,20,5,8,4,6,20,20,16.75,20,17,64,14,6,A,1,71,M,U,51364,14
1019,1,20,3,4,2,3,20,18.33,15,20,15,39,12,6,A,1,53,M,H,65871,7
1020,0,0,3,4,1,2,20,15,12.5,15,18,43,14,6,A,0,27,F,H,63008,6
1021,0,0,1,6,1,3,20,20,15,20,21,81,13,6,A,0,58,F,H,57954,9
1022,1,25,2,2,2,2,20,15,15,15,17,29,10,4,A,0,60,F,U,44284.5,4
1023,0,0,1,1,1,1,20,20,20,20,20,20,10,4,F,0,60,M,H,105000,2
1024,0,0,1,1,1,1,20,20,20,20,16,16,12,5,F,0,42,F,H,105000,2
1025,0,0,2,3,1,2,20,15,11.67,20,16,44,12,5,A,0,48,M,H,80468,5
1026,0,0,1,1,1,1,20,20,20,20,21,21,8,3,N,0,51,F,H,56996,2
1027,1,20,2,4,1,3,20,20,21.25,20,17,81,13,6,A,0,53,M,H,67860,7
1028,0,0,2,2,2,2,20,15,15,15,21,24,12,6,N,0,67,F,U,67860,4
1029,1,15,2,2,1,1,20,15,15,20,16,20,14,6,N,0,60,F,H,67860,3
1030,0,0,3,8,0,4,20,16.67,11.5,0,15,87,12,5,A,0,73,F,H,50898,12
1031,0,0,1,1,1,1,20,20,20,20,24,24,7,3,N,0,66,M,H,58635,2
1032,1,20,1,2,0,0,20,20,20,0,14,15,27,5,F,0,64,F,U,44284.5,2
1033,0,0,1,3,0,1,20,20,13.33,0,25,41,12,6,A,0,53,M,H,65027,4
1034,0,0,1,3,0,1,20,20,13.33,0,18,41,12,6,A,0,76,F,H,66197,4
1035,0,0,1,6,0,4,20,20,12,0,18,104,13,6,A,1,51,M,H,75737,10
1036,1,20,2,3,1,1,20,16,17.33,15,5,30,14,6,A,0,78,M,U,76915,4
1037,0,0,0,1,0,0,20,0,20,0,23,23,8,3,N,0,44,F,U,63938,1
1038,0,0,2,7,0,3,20,20,16.57,0,15,86,13,5,A,1,43,F,U,44284.5,10
1039,0,0,2,2,2,2,20,15,15,15,21,29,10,4,A,0,60,F,U,44284.5,4
1040,0,0,1,1,1,1,20,20,20,20,16,16,12,5,F,0,63,M,H,79842,2
1041,1,18,6,13,5,10,20,17.5,13.23,17,17,124,14,6,A,1,51,F,H,48304,23
1042,0,0,2,3,1,2,20,20,16.67,20,23,44,12,6,A,0,61,M,H,48304,5
1043,0,0,3,3,2,2,20,16.67,16.67,15,25,33,11,6,A,0,62,F,U,83356,5
1044,1,30,3,7,2,4,20,15,11.29,17.5,18,57,13,6,A,0,83,M,U,83609,11
1045,1,18,1,6,0,3,20,15,17.5,0,5,66,19,7,A,0,52,M,U,16921,9
1046,0,0,1,1,1,1,20,20,20,20,21,21,8,3,N,0,79,M,U,27420,2
1047,0,0,1,1,1,1,20,20,20,20,17,17,10,4,F,0,57,F,H,27420,2
1048,1,20,3,4,1,2,20,15.67,13,7,18,42,12,6,A,0,53,F,H,29081,6
1049,0,0,1,1,0,0,20,20,20,0,15,15,10,5,F,0,71,F,H,26832,1
1050,1,20,2,2,0,0,20,17.5,17.5,0,26,32,9,4,A,0,49,M,H,45610,2
1051,0,0,1,6,1,2,20,20,12.5,20,16,77,14,6,A,0,65,F,H,49277,8
1052,0,0,0,1,0,0,20,0,20,0,20,20,10,4,F,0,46,F,U,49277,1
1053,0,0,2,2,0,0,20,15,15,0,18,31,10,4,A,0,36,F,H,39363,2
1054,1,25,4,13,3,9,20,19.25,12.85,19.33,22,122,12,6,A,1,67,M,H,33698,22
1055,0,0,1,5,1,4,20,20,9,20,26,68,10,5,A,0,55,F,H,35244,9
1056,0,0,2,9,2,5,20,20,14.56,20,21,88,13,6,A,0,72,F,H,46903,14
1057,0,0,3,11,1,4,20,13.33,10.82,10,18,80,13,6,A,1,72,F,H,138188,15
1058,0,0,2,7,2,5,20,11,8.86,11,15,91,13,5,A,0,63,F,U,44284.5,12
1059,0,0,3,4,1,2,20,18.33,16.25,20,21,41,12,6,A,0,55,M,H,61227,6
1060,0,0,2,2,1,1,20,17.5,17.5,20,24,28,9,4,A,0,41,M,H,91318,3
1061,1,10,1,1,1,1,20,20,20,20,21,21,10,4,F,0,40,M,H,75047,2
1062,1,20,3,9,1,4,20,19.33,15.22,20,16,53,15,6,S,1,52,F,U,44284.5,13
1063,0,0,1,1,1,1,20,20,20,20,23,23,8,3,N,0,49,M,H,53954,2
1064,0,0,1,9,0,5,20,20,11.11,0,18,76,15,6,A,1,46,F,U,55739,14
1065,1,20,1,1,0,0,20,20,20,0,19,19,11,4,F,0,22,F,U,46487,1
1066,0,0,2,4,1,2,20,11,11.75,12,17,41,13,6,A,0,62,M,H,37781,6
1067,0,0,1,11,1,7,20,20,18.64,20,26,126,10,5,A,1,84,F,U,44284.5,18
1068,0,0,3,9,0,4,20,20,15.78,0,16,114,12,5,A,1,60,F,H,27969,13
1069,0,0,2,2,1,1,20,20,20,20,25,33,9,4,A,0,35,F,H,40316,3
1070,0,0,1,4,1,3,20,20,14,20,24,64,11,6,A,0,77,M,U,30633,7
1071,0,0,3,12,0,3,20,18.67,12.42,0,20,67,13,6,A,1,46,F,U,44287,15
1072,0,0,1,1,1,1,20,20,20,20,23,23,3,1,E,0,60,F,U,44284.5,2
1073,1,15,3,5,3,4,20,16.67,13,16.67,16,44,14,6,A,0,40,M,H,35658,9
1074,0,0,6,19,3,9,20,20,15.05,20,19,125,10,4,S,1,81,F,H,53526,28
1075,0,0,3,15,2,10,20,20,11.27,20,24,111,11,6,A,1,85,M,U,66222,25
1076,0,0,1,2,0,1,20,20,15,0,26,39,9,4,A,0,45,F,H,70851,3
1077,1,20,2,7,0,2,20,16,8.43,0,23,88,12,6,A,0,40,M,H,47340,9
1078,0,0,1,22,1,8,20,20,15.32,20,16,119,36,6,A,1,71,F,H,47021,30
1079,0,0,1,5,0,3,20,20,8,0,24,73,11,6,A,0,39,F,U,44284.5,8
1080,1,20,2,8,1,6,20,19,13,18,26,104,14,5,A,1,69,M,H,51918,14
1081,0,0,2,6,0,2,20,20,14.33,0,19,90,13,6,A,0,73,F,H,46649,8
1082,0,0,1,3,0,1,20,20,11,0,18,53,12,6,A,0,61,F,U,46005,4
1083,0,0,1,4,0,3,20,20,14,0,24,92,9,4,A,0,46,F,H,46170,7
1084,0,0,1,1,1,1,20,20,20,20,21,21,8,3,N,0,31,F,H,50954,2
1085,1,10,1,1,1,1,20,20,20,20,16,16,12,5,F,0,46,F,H,63093,2
1086,0,0,2,2,1,1,20,15,15,20,22,32,10,4,A,0,39,F,H,49436,3
1087,1,20,3,14,2,11,20,20,14.57,20,25,130,13,6,S,1,60,M,U,44845,25
1088,0,0,1,1,1,1,20,20,20,20,16,16,12,5,F,0,60,F,U,44284.5,2
1089,0,0,1,1,1,1,20,20,20,20,24,24,7,3,N,0,36,M,H,65800,2
1090,0,0,1,13,1,8,20,20,15.38,20,24,87,11,6,A,1,54,F,H,67748,21
1091,0,0,2,2,2,2,20,12.5,12.5,12.5,19,33,10,4,A,0,60,F,U,44284.5,4
1092,1,20,2,5,1,2,20,18,14.4,20,17,69,13,6,A,0,33,M,H,61206,7
1093,1,7,8,30,6,15,20,6.75,5.2,5.5,6,122,19,7,S,1,65,F,U,44284.5,45
1094,0,0,3,4,3,4,20,20,17.5,20,17,41,12,6,A,0,17,F,H,36221,8
1095,1,20,1,7,0,5,20,20,13.86,0,19,75,14,6,A,1,58,F,H,41395,12
1096,0,0,3,11,1,8,20,12.67,9,8,16,111,8,4,S,1,74,M,U,49173,19
1097,1,25,4,22,2,12,20,18,13.32,18.5,21,111,13,6,A,1,79,F,H,58868,34
1098,1,20,2,3,1,2,20,20,20,20,22,51,12,6,A,0,34,M,H,77218,5
1099,1,10,3,6,0,1,20,14,10.5,0,18,43,14,6,A,0,60,F,U,44284.5,7
1100,0,0,3,5,1,1,20,18.33,16,20,23,52,12,6,A,0,54,M,U,45417,6
1101,0,0,5,7,4,5,20,13.2,10.57,13.25,16,41,13,6,A,0,45,M,U,44284.5,12
1102,0,0,2,7,1,4,20,18,11.57,20,16,75,14,6,S,1,43,M,H,42270,11
1103,0,0,4,6,2,3,20,18.25,14.5,16.5,19,45,13,6,A,0,43,F,H,40411,9
1104,1,20,1,8,1,6,20,20,12.25,20,16,116,13,5,A,1,60,F,U,44284.5,14
1105,1,20,1,7,1,3,20,13,9.14,13,17,56,13,6,A,0,78,F,U,44284.5,10
1106,0,0,4,14,2,8,20,12.5,11.64,10,18,123,13,6,S,1,55,M,H,68000,22
1107,0,0,1,1,1,1,20,20,20,20,16,16,13,5,F,0,55,F,H,51471,2
1108,0,0,2,12,1,6,20,15,9.25,10,18,105,11,4,A,1,60,F,U,44284.5,18
1109,0,0,3,6,0,1,20,15,11.83,0,19,44,13,6,A,0,66,F,H,46571,7
1110,1,25,2,6,1,4,20,13.5,8.5,20,16,88,13,5,A,1,53,F,H,46240,10
1111,1,15,3,3,1,1,20,11.67,11.67,10,18,32,15,6,N,0,60,M,U,33424,4
1112,1,20,2,8,0,5,20,17,12.75,0,20,122,13,6,A,0,82,M,H,56361,13
1113,0,0,1,2,1,1,20,10,15,10,16,17,12,5,N,0,43,F,U,50557,3
1114,1,20,1,5,0,2,20,20,14.4,0,19,52,13,6,A,1,55,M,U,44284.5,7
1115,0,0,2,4,0,2,20,20,14,0,19,64,12,6,A,0,43,F,U,37125,6
1116,0,0,1,1,1,1,20,20,20,20,20,20,10,4,F,0,48,M,H,43786,2
1117,1,10,3,10,1,5,20,16.67,11.7,10,18,93,9,4,S,1,54,F,H,54327,15
1118,1,10,5,9,2,3,20,16,14.22,20,15,44,14,6,A,1,31,M,H,67061,12
1119,1,15,2,2,2,2,20,12.5,12.5,12.5,17,24,12,6,N,0,54,M,H,45561,4
1120,0,0,4,14,3,9,20,16.25,16.07,15,18,97,14,6,S,1,79,F,U,44284.5,23
1121,0,0,1,1,1,1,20,20,20,20,23,23,8,3,N,0,41,F,H,57672,2
1122,1,10,2,10,1,5,20,20,12.7,20,25,93,13,6,A,0,50,M,H,69006,15
1123,0,0,1,2,0,1,20,20,12.5,0,26,40,10,4,A,0,60,M,U,44284.5,3
1124,0,0,2,3,0,0,20,15,13.33,0,18,44,12,6,A,0,46,F,U,59647,3
1125,0,0,2,15,2,8,20,20,8.53,20,25,68,12,6,A,1,34,F,U,65701,23
1126,1,20,1,1,1,1,20,20,20,20,18,18,10,4,F,0,60,F,U,44284.5,2
1127,1,20,1,8,1,7,20,20,17.5,20,18,112,13,6,A,1,60,F,U,44284.5,15
1128,1,10,3,4,1,1,20,23.33,22.5,25,16,28,13,6,A,0,33,M,H,60963,5
1129,0,0,2,4,1,2,20,17.5,13.75,15,15,79,11,5,L,0,70,F,U,21867,6
1130,1,15,1,9,0,6,20,20,10.56,0,26,99,10,5,A,1,64,M,H,48327,15
1131,0,0,3,10,1,6,20,13.33,9,10,17,111,13,6,A,1,42,F,H,48327,16
1132,0,0,4,16,4,11,20,20,15.75,20,21,100,13,6,S,1,57,F,H,38297,27
1133,0,0,2,3,0,1,20,17,14.67,0,26,44,11,5,A,0,50,F,U,70794,4
1134,0,0,2,2,2,2,20,15,15,15,18,29,10,4,A,0,43,F,H,36928,4
1135,0,0,4,7,3,3,20,17.5,15.71,16.67,7,32,20,8,A,1,73,M,U,51954,10
1136,1,3,4,10,1,4,20,18.75,14.4,20,16,115,16,6,A,0,86,F,U,44284.5,14
1137,0,0,1,7,0,3,20,20,14,0,17,93,14,6,A,0,54,M,H,50707,10
1138,0,0,2,2,1,1,20,15,15,20,24,28,9,4,A,0,45,F,H,60863,3
1139,1,10,2,19,2,12,20,15.5,8.58,15.5,21,127,12,6,A,1,62,F,H,67760,31
1140,0,0,2,2,1,1,20,15,15,10,18,24,12,6,N,0,60,F,U,44284.5,3
1141,0,0,2,3,1,1,20,15,11.67,20,16,23,13,5,N,0,59,F,U,66746,4
1142,0,0,1,8,1,4,20,15,8.88,15,18,65,13,6,A,1,55,M,H,49587,12
1143,0,0,2,6,0,3,20,20,12,0,18,68,13,6,A,0,80,M,U,41596,9
1144,0,0,3,8,2,5,20,18.33,15,17.5,16,113,12,5,A,1,71,M,U,49205,13
1145,0,0,2,2,1,1,20,12.5,12.5,5,19,29,10,4,A,0,60,M,H,45481,3
1146,0,0,2,9,0,5,20,15,8.44,0,19,113,13,6,S,1,54,M,H,45714,14
1147,0,0,3,30,2,17,20,9.33,4.03,11.5,24,127,12,6,S,1,60,M,U,44284.5,47
1148,0,0,2,2,1,1,20,12.5,12.5,5,19,29,10,4,A,0,60,F,U,48104,3
1149,0,0,2,2,1,1,20,15,15,10,18,29,12,4,A,0,60,M,U,54597,3
1150,1,5,2,4,1,2,20,15,20.5,10,26,51,11,5,A,0,68,M,H,50865,6
1151,0,0,2,2,2,2,20,15,15,15,23,35,10,4,A,0,60,F,U,44284.5,4
1152,1,20,2,8,1,5,20,17,10.5,14,19,57,13,6,A,1,52,M,H,42786,13
1153,1,25,2,5,0,2,20,20,13.4,0,18,74,13,6,A,0,54,F,H,48311,7
1154,0,0,1,10,1,9,20,20,10.7,20,23,126,10,4,A,1,49,F,U,47358,19
1155,1,20,1,1,0,0,20,20,20,0,19,19,10,4,F,0,60,M,U,44284.5,1
