,Potential_Customer,C_ID,Cust_Last_Purchase,Pur_latest,Pur_3_years_Avg,Pur_5_years_Avg,Pur_3_years_Avg_Indirect,InAct_Last,InAct_First,Status_Cust,Status_Latest_Ad,Age,Gender,Cust_Prop,Cust_Ann_Income,Status_CustN,Total_Pur_3_years,Total_Pur_5_years,Total_Ad_Res_1_year,Total_Ad_Res_3_year,Total_Ad_Res_5_year
731,1,101676,15.0,15.0,14.0,10.13,13.5,20,88,A,1,63.0,M,H,63034.0,A,5,13,19,45,76
732,1,101673,20.0,25.0,15.0,10.83,,18,45,S,1,40.0,F,U,0.0,S,3,8,21,42,56
733,1,101674,5.0,15.0,10.33,6.71,8.0,18,57,A,1,47.0,M,H,63034.0,A,4,19,19,52,94
734,0,101689,,15.0,0.0,15.0,,22,22,N,0,,F,U,49833.0,Others,0,1,12,12,19
735,0,101743,,15.0,15.0,15.0,15.0,24,44,A,0,32.0,M,U,43019.0,A,2,3,13,35,41
736,0,101842,,13.0,11.67,7.67,12.0,16,93,A,0,86.0,F,H,40212.0,A,5,9,15,32,45
737,0,101779,,7.0,6.0,5.8,6.33,16,66,S,1,49.0,M,H,40212.0,S,7,16,16,41,66
738,0,101761,,15.0,15.0,15.0,15.0,16,16,F,0,69.0,F,H,40212.0,Others,2,2,15,22,18
739,1,101774,8.0,9.0,9.44,8.22,10.25,18,52,S,1,35.0,F,H,40212.0,S,13,25,19,50,65
740,1,101803,25.0,10.0,6.5,11.0,6.5,21,28,A,0,50.0,F,H,40540.0,A,4,5,18,37,33
741,0,101823,,20.0,20.0,10.0,20.0,17,125,A,1,60.0,F,H,40540.0,A,2,26,19,47,104
742,0,101856,,11.0,6.5,6.2,7.0,24,39,A,1,48.0,M,H,51335.0,A,7,8,17,46,46
743,1,101855,10.0,10.0,8.17,7.86,7.8,17,33,S,1,73.0,M,H,51335.0,S,11,12,20,46,45
744,1,101889,16.0,16.0,17.0,13.5,15.5,24,122,A,0,46.0,F,H,47076.0,A,5,14,18,47,92
745,1,4150,14.0,12.0,16.33,10.75,,17,126,A,1,52.0,F,H,47076.0,A,3,24,26,47,129
746,0,8234,,0.0,12.5,11.2,15.0,5,65,A,0,59.0,F,H,60508.0,A,3,14,39,68,99
747,0,101919,,15.0,10.0,12.5,10.0,26,29,A,0,36.0,F,U,60508.0,A,2,3,15,34,32
748,0,101938,,25.0,25.0,25.0,25.0,17,17,F,0,67.0,M,H,41667.0,Others,2,2,16,23,20
749,0,101945,,5.0,6.25,6.0,6.67,15,29,A,1,33.0,M,H,62010.0,A,7,8,21,40,35
750,1,101972,25.0,20.0,20.0,20.0,20.0,17,17,F,0,,F,U,0.0,Others,2,2,14,21,18
751,1,101989,5.0,5.0,5.4,3.06,5.0,15,114,S,1,74.0,F,U,45069.0,S,6,47,16,45,110
752,0,104709,,20.0,20.0,20.0,20.0,21,21,F,0,,F,U,0.0,Others,2,2,15,25,23
753,1,102011,30.0,28.0,27.0,19.92,25.0,15,93,L,1,43.0,F,U,57228.0,Others,4,19,18,49,95
754,1,102030,25.0,25.0,25.0,25.0,25.0,17,17,F,0,68.0,F,H,61219.0,Others,2,2,16,22,19
755,0,102037,,25.0,22.5,15.0,,26,74,A,1,32.0,F,H,42176.0,A,2,10,16,36,74
756,0,102093,,15.0,12.5,12.5,12.5,21,32,A,0,,M,U,0.0,A,4,4,14,36,35
757,0,102099,,15.0,13.5,11.6,15.0,24,44,A,0,73.0,M,U,19618.0,A,3,7,18,51,55
758,0,102101,,12.0,11.0,9.0,12.0,16,20,N,0,61.0,M,H,27121.0,Others,3,4,20,32,27
759,1,2757,10.0,5.0,9.0,8.35,8.67,17,76,S,1,35.0,F,U,31563.0,S,7,23,35,66,99
760,1,102186,15.0,20.0,19.0,14.7,19.0,16,88,A,0,81.0,F,H,56157.0,A,4,14,12,32,65
761,0,102169,,15.0,15.0,15.0,15.0,24,24,N,0,77.0,M,H,56157.0,Others,2,2,10,24,21
762,0,102180,,15.0,10.8,8.33,,18,75,S,1,,U,U,0.0,S,5,12,19,39,72
763,1,102163,30.0,25.0,25.0,25.0,25.0,15,15,F,0,54.0,F,H,56157.0,Others,2,2,16,22,19
764,1,102181,15.0,14.0,14.0,13.3,14.0,18,76,A,0,63.0,F,H,56157.0,A,6,16,12,42,72
765,1,102222,10.0,10.0,10.0,8.62,10.0,24,120,A,1,64.0,F,H,40898.0,A,4,32,17,47,109
766,0,4589,,5.0,5.67,6.33,5.5,18,50,A,1,56.0,M,H,52444.0,A,8,19,27,60,83
767,1,6932,10.0,10.0,7.5,7.26,6.5,8,105,S,1,80.0,M,U,56722.0,S,8,45,43,75,144
768,1,102260,25.0,25.0,25.0,25.0,25.0,23,23,N,0,71.0,F,H,56722.0,Others,2,2,14,30,27
769,0,102292,,15.0,11.86,8.64,11.0,15,64,A,1,84.0,F,H,27183.0,A,10,21,20,48,73
770,1,102317,17.0,5.0,11.13,8.1,12.4,15,86,S,1,54.0,M,U,0.0,S,13,30,20,49,82
771,0,102328,,20.0,20.0,20.0,20.0,19,33,A,0,49.0,M,H,27793.0,A,5,5,19,45,40
772,1,102351,23.0,15.0,13.33,13.33,17.5,16,32,A,0,64.0,F,H,29646.0,A,5,5,19,37,34
773,1,102372,23.0,17.0,13.0,13.0,11.0,18,33,A,0,,M,U,0.0,A,5,5,16,42,40
774,0,3242,,11.0,11.2,9.81,11.17,16,64,S,1,66.0,F,U,45337.0,S,16,37,35,65,94
775,1,102398,12.0,13.0,11.8,5.17,13.67,18,128,S,1,69.0,F,H,29691.0,S,8,32,11,36,85
776,1,102434,10.0,5.0,7.5,4.0,,15,129,A,1,86.0,F,H,52041.0,A,2,24,17,35,88
777,0,102511,,10.0,9.25,8.17,9.5,16,53,A,0,,U,U,0.0,A,6,9,19,48,57
778,1,102510,25.0,15.0,15.0,15.0,15.0,22,32,A,0,,F,U,67553.0,A,7,7,19,47,43
779,0,13743,,16.0,13.0,13.67,13.0,17,24,E,0,,F,U,0.0,Others,4,5,20,29,31
780,1,102521,5.0,20.0,12.5,12.5,5.0,18,23,N,0,53.0,M,H,69871.0,Others,3,3,19,37,32
781,1,190488,25.0,19.0,19.38,19.43,19.17,19,105,S,1,48.0,F,U,63710.0,S,14,53,20,50,104
782,1,102579,5.0,3.0,3.86,5.0,4.5,6,87,A,1,,U,U,40759.0,A,9,20,22,51,80
783,1,102589,100.0,10.0,10.0,7.73,10.0,21,90,S,1,71.0,M,U,57019.0,S,6,24,19,42,85
784,0,102594,,25.0,25.0,15.0,25.0,24,92,A,0,,F,U,0.0,A,3,7,18,49,83
785,1,102630,5.0,3.0,4.38,3.58,4.67,18,74,S,1,,M,U,47727.0,S,14,28,19,46,71
786,1,102665,20.0,10.0,8.75,8.75,8.33,16,28,A,1,57.0,M,H,41487.0,A,7,7,20,41,36
787,0,102673,,10.0,20.0,14.6,20.0,18,119,S,1,65.0,M,H,41487.0,S,3,24,20,46,102
788,0,104543,,11.0,11.0,7.2,11.0,17,68,S,1,,M,U,0.0,S,3,17,20,48,74
789,1,102706,3.0,5.0,4.14,3.38,4.14,21,130,S,1,42.0,F,H,54006.0,S,14,37,16,44,93
790,0,6684,,20.0,20.0,17.2,20.0,24,53,A,0,80.0,F,H,42103.0,A,3,7,23,38,56
791,1,102742,9.0,11.0,9.67,6.64,11.0,17,113,A,1,53.0,M,H,35884.0,A,4,18,20,48,90
792,1,102741,20.0,20.0,20.0,14.43,20.0,23,105,A,0,75.0,F,U,35884.0,A,4,11,18,51,84
793,1,102772,10.0,10.0,7.5,5.0,10.0,21,128,A,1,51.0,F,U,33875.0,A,3,28,15,41,101
794,1,102780,16.0,16.0,14.67,10.13,14.67,19,81,A,1,85.0,F,U,38385.0,A,6,15,19,48,78
795,1,102795,10.0,15.0,15.0,15.0,15.0,24,24,N,0,77.0,M,H,20000.0,Others,2,2,10,24,21
796,1,8232,10.0,15.0,0.0,13.42,,4,121,A,1,60.0,F,H,35747.0,A,0,17,32,32,117
797,0,102814,,10.0,7.67,8.75,7.67,19,80,A,1,67.0,M,H,51735.0,A,6,28,17,46,91
798,0,102827,,20.0,20.0,18.75,20.0,24,44,A,0,67.0,M,H,36071.0,A,3,5,17,48,52
799,0,102948,,15.0,15.0,12.2,15.0,24,56,A,0,62.0,M,H,42094.0,A,4,9,19,48,63
800,1,102953,21.0,20.0,15.0,15.0,20.0,21,24,N,0,41.0,F,H,42094.0,Others,3,3,18,34,30
801,0,102988,,9.0,7.71,5.89,7.6,16,69,S,1,42.0,M,U,0.0,S,12,32,16,46,79
802,0,103011,,15.0,14.0,12.57,,19,93,A,0,63.0,M,H,36512.0,A,3,10,19,38,77
803,0,103077,,5.0,3.88,3.22,4.0,19,129,S,1,7.0,U,U,0.0,S,13,50,18,49,110
804,0,189346,,15.0,8.33,4.72,10.0,4,105,A,1,,U,U,36006.0,A,5,37,9,32,78
805,1,103111,10.0,15.0,15.0,15.0,,19,19,F,0,30.0,F,H,51667.0,Others,1,1,14,21,21
806,0,103174,,15.0,15.0,15.0,15.0,24,24,N,0,25.0,F,U,41685.0,Others,2,2,10,24,21
807,0,103173,,3.0,3.4,3.13,3.67,15,109,S,1,75.0,F,H,48846.0,S,16,43,19,50,101
808,0,103219,,16.0,13.0,13.0,10.0,19,31,A,0,55.0,M,U,54405.0,A,3,3,14,34,31
809,1,103260,10.0,10.0,10.0,8.78,10.0,25,89,A,1,31.0,M,U,0.0,A,4,25,15,43,88
810,0,103238,,5.0,6.38,4.92,5.83,18,119,S,1,77.0,F,U,52970.0,S,14,58,17,49,111
811,1,103290,16.0,10.0,11.33,9.6,12.0,18,130,S,1,71.0,M,H,47917.0,S,5,24,19,45,99
812,1,103298,15.0,15.0,12.5,12.5,,26,31,A,0,26.0,F,H,45529.0,A,2,2,13,26,31
813,0,103310,,25.0,25.0,40.4,25.0,23,97,A,0,82.0,F,H,45529.0,A,2,8,18,46,92
814,0,103301,,20.0,22.0,19.2,22.0,24,42,A,0,60.0,M,U,45529.0,A,6,10,18,47,53
815,1,103330,50.0,20.0,20.0,10.33,20.0,21,75,A,0,52.0,F,H,61313.0,A,4,10,18,46,65
816,0,103320,,6.0,4.5,4.29,4.67,16,32,A,1,47.0,F,H,61313.0,A,9,10,19,44,41
817,0,103316,,25.0,17.5,17.5,17.5,18,29,A,0,29.0,F,U,61313.0,A,4,4,19,40,35
818,0,190842,,17.0,16.0,11.44,15.0,26,101,A,1,47.0,F,U,61313.0,A,3,16,15,45,85
819,0,1505,,10.0,14.0,12.88,15.0,19,52,A,0,,M,U,0.0,A,9,12,36,67,95
820,0,103350,,20.0,20.0,20.0,20.0,21,21,F,0,63.0,M,H,0.0,Others,2,2,14,24,21
821,1,103416,15.0,16.0,13.0,13.0,,18,27,N,0,43.0,M,U,42595.0,Others,2,2,16,30,31
822,1,103488,10.0,2.5,7.5,5.43,8.33,15,126,S,1,67.0,F,H,37876.0,S,10,36,15,37,69
823,1,103468,15.0,15.0,11.5,7.1,,18,91,A,0,56.0,F,U,37876.0,A,2,15,19,40,62
824,1,103527,4.0,4.0,4.5,4.27,4.38,21,45,S,1,47.0,M,U,46750.0,S,18,25,17,47,53
825,1,103535,15.0,20.0,10.0,13.33,,16,39,A,0,59.0,F,U,39375.0,A,1,4,17,32,42
826,1,103543,11.0,12.0,9.5,9.21,7.5,18,130,S,1,78.0,M,H,31883.0,S,6,40,12,36,83
827,1,103566,26.0,21.0,21.0,15.73,,18,129,A,1,76.0,M,H,41084.0,A,2,23,19,40,113
828,1,103590,15.0,20.0,17.5,15.0,,20,41,A,0,,M,U,0.0,A,2,4,18,38,48
829,1,103593,10.0,12.0,12.0,8.5,12.0,18,113,A,1,82.0,F,U,0.0,A,2,26,17,43,99
830,1,103613,15.0,15.0,15.0,9.25,15.0,25,41,A,0,59.0,F,H,24464.0,A,4,7,15,41,46
831,1,103644,10.0,5.0,4.33,6.0,5.0,16,52,A,0,,F,U,0.0,A,4,10,21,50,60
832,0,103664,,20.0,20.0,20.0,20.0,15,15,E,0,,M,U,27273.0,Others,2,2,11,13,13
833,0,103679,,25.0,25.0,25.0,,20,20,F,0,,M,U,37703.0,Others,1,1,16,22,22
834,0,103707,,10.0,8.75,8.75,8.33,17,24,N,1,59.0,M,U,42450.0,Others,7,7,20,35,33
835,1,112247,25.0,25.0,25.0,23.33,,18,52,A,0,48.0,F,H,42870.0,A,1,3,19,38,59
836,1,103728,13.0,13.0,9.67,5.57,9.67,16,129,A,1,71.0,M,H,40847.0,A,6,25,18,47,95
837,1,189462,10.0,12.0,11.0,8.95,12.0,17,113,A,1,36.0,F,U,35682.0,A,3,32,17,44,100
838,0,103756,,15.0,15.0,15.0,15.0,16,16,F,0,49.0,M,H,36566.0,Others,2,2,14,21,17
839,0,103774,,6.0,7.33,7.0,7.75,19,34,A,1,55.0,M,H,41648.0,A,10,11,19,43,40
840,0,103842,,25.0,23.0,16.67,25.0,18,75,A,1,,F,H,34897.0,A,3,15,19,52,82
841,0,103856,,15.0,15.0,10.67,15.0,18,125,F,1,,F,U,0.0,Others,2,10,20,41,81
842,1,103857,15.0,15.0,20.0,17.5,25.0,19,76,A,0,,M,U,0.0,A,3,10,19,52,81
843,1,103872,20.0,20.0,20.0,20.0,20.0,16,16,F,0,63.0,F,H,32880.0,Others,2,2,18,25,21
844,1,100132,15.0,15.0,15.0,10.0,15.0,17,96,S,1,73.0,F,H,35932.0,S,4,20,19,47,92
845,1,103913,11.0,12.0,10.7,9.21,10.43,16,45,S,1,43.0,F,U,0.0,S,17,23,20,50,55
846,1,103926,5.0,9.0,7.8,6.21,7.67,18,127,S,1,17.0,M,H,29081.0,S,8,38,9,35,99
847,1,103920,5.0,5.0,6.25,5.71,5.0,15,28,A,0,43.0,M,U,29081.0,A,6,9,12,30,27
848,1,114820,10.0,10.0,8.4,6.29,8.0,19,118,S,1,,F,U,0.0,S,9,26,13,39,64
849,1,103953,5.0,2.5,2.63,2.32,2.67,15,113,A,0,,F,U,45281.0,A,7,27,12,26,64
850,0,103979,,5.0,11.67,11.25,10.0,16,35,A,1,79.0,M,H,41165.0,A,5,6,21,44,41
851,0,37427,,25.0,20.0,13.75,15.0,18,77,A,0,55.0,F,U,72250.0,A,4,11,19,52,82
852,0,37422,,25.0,25.0,40.83,25.0,22,52,A,1,42.0,M,H,72250.0,A,4,11,19,52,69
853,1,39869,21.0,20.0,15.0,15.0,10.0,16,20,N,0,,F,U,0.0,Others,3,3,19,29,27
854,0,37255,,20.0,18.4,13.67,20.0,23,63,A,0,,F,U,62486.0,A,8,13,19,49,72
855,0,145379,,25.0,15.0,15.0,25.0,24,28,A,0,,F,H,62486.0,A,3,3,19,38,34
856,1,37472,20.0,20.0,20.0,20.0,20.0,16,16,F,1,,M,U,0.0,Others,2,2,17,24,20
857,0,37481,,10.0,6.67,5.74,6.67,18,92,S,1,,F,U,0.0,S,6,28,18,41,87
858,0,10520,,5.0,5.17,5.35,5.2,20,105,S,1,71.0,F,U,25468.0,S,11,39,28,59,132
859,1,37531,12.0,10.0,12.67,10.36,12.0,18,74,A,0,83.0,F,H,31100.0,A,5,16,19,50,78
860,1,37528,10.0,10.0,8.33,6.83,5.0,22,64,A,0,,F,U,0.0,A,4,9,18,39,59
861,1,37575,50.0,60.0,55.0,55.0,55.0,16,28,A,0,,M,H,69063.0,A,4,4,19,40,37
862,0,37581,,10.0,6.0,6.0,6.67,21,32,S,1,,M,U,0.0,S,8,8,18,41,38
863,0,37627,,13.0,11.0,12.2,10.33,18,33,S,1,55.0,M,U,53432.0,S,7,8,18,43,41
864,1,37618,25.0,15.0,15.0,15.0,15.0,21,21,N,0,,M,U,53432.0,Others,2,2,11,21,19
865,1,37697,15.0,15.0,9.0,6.0,6.0,17,81,A,1,76.0,M,H,35833.0,A,5,19,21,52,83
866,1,37698,32.0,25.0,22.5,15.29,25.0,20,78,S,1,55.0,M,U,0.0,S,3,12,19,44,72
867,0,37694,,15.0,15.0,16.25,15.0,22,49,A,0,67.0,M,U,35833.0,A,4,7,11,36,49
868,0,37709,,15.0,15.0,15.0,15.0,16,29,A,0,65.0,M,U,30715.0,A,4,4,16,36,33
869,1,37747,18.0,17.0,15.67,13.38,16.5,16,52,S,1,37.0,M,H,70172.0,S,5,13,20,49,64
870,1,37762,30.0,25.0,14.0,14.0,3.0,18,29,A,0,63.0,M,H,27206.0,A,3,3,19,31,26
871,0,37771,,20.0,20.0,20.0,20.0,19,19,F,0,57.0,M,H,21517.0,Others,2,2,16,23,19
872,0,37800,,25.0,15.67,15.67,17.5,16,35,A,0,,M,U,0.0,A,5,5,19,46,42
873,1,6615,11.0,10.0,10.67,10.68,11.0,17,124,S,1,,F,U,0.0,S,5,31,24,53,118
874,0,37831,,6.0,6.0,6.0,6.25,15,33,A,1,,F,H,36457.0,A,10,10,20,45,41
875,1,37861,15.0,15.0,12.5,12.22,10.0,26,128,A,1,69.0,M,H,35498.0,A,3,16,14,40,94
876,1,37852,20.0,20.0,12.5,10.5,15.0,17,45,A,0,37.0,M,H,35498.0,A,6,9,19,50,56
877,1,37872,5.0,3.0,3.29,4.22,3.0,16,93,S,1,61.0,F,U,0.0,S,13,31,19,52,93
878,1,6555,10.0,10.0,11.67,6.1,12.5,5,230,S,1,79.0,M,H,107323.0,S,10,104,48,78,172
879,0,37915,,5.0,5.67,5.24,5.0,19,122,S,1,47.0,F,H,107323.0,S,4,31,8,34,97
880,0,37921,,20.0,20.0,16.5,,18,86,A,0,45.0,M,H,24744.0,A,1,5,14,26,62
881,0,37944,,25.0,25.0,16.33,25.0,21,76,A,1,83.0,F,H,56735.0,A,3,14,19,49,84
882,1,37637,10.0,10.0,10.0,7.58,10.0,22,56,A,1,48.0,F,U,47702.0,A,10,19,19,52,69
883,0,37998,,20.0,20.0,20.0,20.0,16,16,F,0,66.0,M,H,107958.0,Others,2,2,17,24,20
884,1,36690,3.0,15.0,13.0,10.0,13.0,24,50,A,0,,F,U,0.0,A,4,7,16,37,52
885,1,38031,10.0,10.0,12.5,12.5,12.5,16,21,N,0,39.0,M,U,52780.0,Others,4,4,19,31,26
886,0,38064,,10.0,10.0,7.9,10.0,18,123,A,1,80.0,F,H,52780.0,A,3,43,19,48,108
887,0,38035,,20.0,17.0,17.0,17.0,22,29,A,0,58.0,M,H,52780.0,A,4,4,14,33,31
888,0,38025,,15.0,15.0,15.0,15.0,17,17,F,0,70.0,M,H,52780.0,Others,2,2,14,21,18
889,1,38098,3.0,3.0,3.86,4.1,3.8,15,79,S,1,70.0,F,H,42523.0,S,12,29,14,42,74
890,1,38106,3.0,2.0,3.25,2.8,3.0,15,113,S,1,17.0,F,H,42523.0,S,18,65,16,46,101
891,1,38111,7.0,10.0,5.6,4.72,5.0,18,128,S,1,84.0,M,H,42523.0,S,8,31,19,50,98
892,0,38175,,10.0,11.0,10.7,10.5,17,126,S,1,46.0,F,H,34939.0,S,5,35,19,44,105
893,0,38152,,20.0,15.5,15.5,15.0,18,31,A,0,69.0,M,H,34939.0,A,6,6,18,40,35
894,0,38202,,12.0,10.4,8.9,10.0,19,57,S,1,76.0,M,H,46722.0,S,7,15,20,53,71
895,0,38249,,15.0,15.0,11.0,,25,94,A,0,,F,U,48522.0,A,1,10,15,35,84
896,0,36507,,20.0,17.17,14.0,20.0,18,119,A,1,83.0,F,U,48522.0,A,8,19,20,53,97
897,0,38261,,20.0,20.0,13.5,20.0,17,104,A,0,49.0,U,H,33250.0,A,2,12,19,47,93
898,1,38266,10.0,15.0,0.0,15.0,,23,23,N,0,75.0,F,H,32042.0,Others,0,1,7,7,14
899,0,38268,,9.0,8.0,8.0,9.67,16,28,A,1,41.0,F,H,32042.0,A,7,7,18,34,34
900,0,38280,,15.0,14.5,9.43,,18,114,A,0,62.0,F,U,0.0,A,2,11,19,35,86
901,0,38269,,40.0,25.0,25.0,25.0,17,28,A,0,45.0,F,H,32042.0,A,4,4,19,40,35
902,1,14552,16.0,17.0,15.5,10.7,15.5,21,113,S,1,48.0,M,H,29808.0,S,8,32,20,52,114
903,1,38327,11.0,11.0,10.5,10.4,11.0,18,93,A,1,86.0,M,H,36169.0,A,5,24,20,52,96
904,1,38388,10.0,10.0,8.33,7.26,7.5,15,128,S,1,49.0,F,H,37016.0,S,5,36,17,44,107
905,1,38392,20.0,20.0,20.0,20.0,,18,32,A,0,63.0,F,H,52147.0,A,2,2,14,28,31
906,0,36516,,10.0,7.67,6.75,3.0,19,29,A,0,27.0,F,U,0.0,A,4,5,19,38,34
907,0,38425,,20.0,20.0,20.0,20.0,16,16,F,0,51.0,M,H,62830.0,Others,2,2,16,23,19
908,0,38438,,25.0,17.5,17.5,17.5,17,28,A,0,73.0,M,U,0.0,A,4,4,19,38,34
909,1,10287,15.0,10.0,10.0,8.3,10.0,6,123,A,1,83.0,F,H,62830.0,A,6,40,35,65,136
910,0,38700,,24.0,23.0,15.2,,18,78,A,0,,U,U,62830.0,A,2,6,19,40,68
911,1,38519,2.0,2.0,4.0,3.12,4.33,17,88,S,1,51.0,F,H,41607.0,S,8,29,17,40,77
912,1,13239,3.0,3.0,3.14,2.92,3.2,17,41,A,1,68.0,M,H,41607.0,A,12,18,32,58,67
913,1,38539,13.0,8.0,6.6,5.5,6.67,19,44,S,1,65.0,F,U,62781.0,S,8,15,18,47,54
914,0,38538,,15.0,7.67,8.25,5.0,17,36,A,0,,F,U,62781.0,A,4,5,19,50,47
915,0,38554,,10.0,9.0,9.33,8.0,15,17,N,0,,M,U,0.0,Others,3,4,16,22,20
916,0,38562,,10.0,9.5,6.08,9.0,16,127,A,0,55.0,M,H,39314.0,A,6,18,17,41,95
917,1,38580,10.0,20.0,20.0,14.82,,26,113,A,1,61.0,M,H,46777.0,A,1,18,15,36,95
918,1,38591,10.0,13.0,13.0,12.42,13.0,20,113,A,1,47.0,M,U,0.0,A,3,42,17,48,111
919,1,38632,38.0,20.0,20.67,13.51,21.0,16,129,S,1,47.0,F,H,56969.0,S,21,69,18,49,121
920,1,38642,10.0,15.0,15.0,15.0,15.0,20,20,F,0,23.0,M,U,46002.0,Others,2,2,11,20,18
921,0,38677,,10.0,10.0,16.06,10.0,18,122,A,1,62.0,F,H,40708.0,A,2,28,18,39,102
922,0,38663,,10.0,11.33,9.0,12.0,19,93,S,1,51.0,F,H,40708.0,S,4,15,19,48,87
923,1,38664,30.0,30.0,30.0,30.0,30.0,17,17,F,0,65.0,M,H,56250.0,Others,2,2,16,23,20
924,0,38692,,20.0,20.0,16.43,20.0,19,86,A,0,70.0,M,U,0.0,A,4,10,21,52,79
925,0,38698,,20.0,12.5,12.5,20.0,20,28,A,0,27.0,M,U,0.0,A,3,3,14,31,29
926,1,38707,17.0,12.0,10.71,10.0,11.25,17,41,S,1,,M,U,0.0,S,11,13,20,47,52
927,1,38734,26.0,26.0,26.0,16.0,,16,76,A,0,27.0,F,H,38906.0,A,1,7,16,33,64
928,0,2989,,20.0,22.5,23.75,25.0,16,28,A,0,17.0,M,H,61132.0,A,3,5,23,41,44
929,1,38820,20.0,7.0,8.4,9.58,9.25,22,124,S,1,84.0,M,H,68869.0,S,9,42,19,48,108
930,1,38812,17.0,17.0,17.0,14.33,,15,75,A,1,74.0,F,H,68869.0,A,1,9,19,37,75
931,1,39935,4.0,4.0,4.14,4.0,4.0,21,32,A,1,37.0,M,U,68869.0,A,11,12,17,41,39
932,0,38857,,50.0,50.0,50.0,50.0,17,17,F,0,23.0,F,U,27793.0,Others,2,2,16,23,20
933,0,38882,,15.0,15.0,9.67,,26,111,A,0,45.0,F,H,27793.0,A,1,9,13,32,80
934,0,36677,,10.0,8.75,8.75,7.5,16,27,A,1,35.0,F,U,44248.0,A,6,6,20,39,34
935,0,38761,,18.0,18.0,9.55,,24,115,A,1,45.0,F,U,0.0,A,1,19,15,34,102
936,1,38924,20.0,20.0,15.0,15.0,10.0,18,33,A,0,65.0,M,H,32229.0,A,3,3,14,35,32
937,1,38944,25.0,25.0,25.0,16.33,25.0,17,105,A,1,40.0,M,H,32229.0,A,2,11,20,47,89
938,0,38958,,5.0,7.5,5.96,7.17,18,57,S,1,41.0,F,H,40290.0,S,14,35,19,49,75
939,0,6273,,11.0,10.75,9.6,11.0,21,130,S,1,80.0,F,H,40290.0,S,7,56,24,54,140
940,1,38987,13.0,10.0,14.4,11.19,10.0,21,128,S,1,71.0,F,H,47750.0,S,7,34,19,48,110
941,0,39025,,10.0,8.0,7.2,8.33,16,52,A,1,7.0,M,H,60584.0,A,11,15,20,51,57
942,1,39031,15.0,10.0,15.0,7.86,20.0,16,77,A,0,43.0,F,U,60584.0,A,3,11,18,39,65
943,0,39083,,20.0,20.0,10.0,,26,81,A,0,55.0,M,H,40032.0,A,1,4,14,25,40
944,1,189848,12.0,12.0,10.0,9.73,10.0,4,87,A,1,79.0,M,U,40032.0,A,15,41,38,69,114
945,1,185030,10.0,4.0,12.0,10.15,12.0,18,122,S,1,80.0,M,H,43600.0,S,6,19,22,53,102
946,0,37729,,2.0,1.55,1.5,1.75,16,105,S,1,87.0,M,U,0.0,S,19,50,17,43,81
947,0,39217,,20.0,17.33,12.67,18.0,18,53,A,0,51.0,F,H,55378.0,A,4,8,19,50,62
948,1,39257,25.0,20.0,15.0,9.25,15.0,16,68,A,0,27.0,U,H,59874.0,A,4,12,20,45,73
949,1,39246,5.0,5.0,4.43,4.25,4.5,17,29,A,1,73.0,F,H,59874.0,A,11,12,18,37,35
950,0,39277,,15.0,11.8,10.83,10.67,20,42,A,0,69.0,F,H,72385.0,A,8,10,18,46,48
951,0,39289,,15.0,10.33,6.91,10.33,21,124,A,1,68.0,F,U,0.0,A,6,49,19,47,110
952,1,37090,20.0,16.0,16.0,13.7,16.0,25,65,A,0,67.0,M,H,91874.0,A,3,14,17,48,76
953,1,39326,8.0,10.0,8.8,7.75,8.67,17,41,A,1,39.0,F,U,103549.0,A,8,12,20,51,55
954,0,39348,,30.0,27.5,23.33,,15,112,A,0,,M,H,40723.0,A,2,11,19,39,89
955,0,39538,,10.0,10.0,8.13,,26,130,A,1,76.0,M,U,0.0,A,1,24,13,30,93
956,0,12415,,20.0,30.27,29.0,31.0,15,57,A,1,63.0,M,H,40208.0,A,18,28,37,68,101
957,1,39438,4.0,4.0,4.17,4.14,4.0,18,33,A,1,73.0,F,H,41999.0,A,10,11,17,42,38
958,0,39530,,15.0,11.25,9.6,12.5,15,41,A,0,38.0,M,H,41999.0,A,6,8,17,43,44
959,1,39479,4.0,4.0,4.6,4.11,4.0,15,124,S,1,64.0,M,H,46332.0,S,15,39,17,50,104
960,0,39484,,10.0,7.5,7.5,6.67,18,29,A,1,69.0,F,H,36364.0,A,7,7,19,38,34
961,0,39505,,12.0,10.75,9.17,11.33,21,45,A,1,59.0,M,H,70410.0,A,7,10,18,42,47
962,1,39613,5.0,10.0,14.0,9.69,14.0,18,111,A,0,41.0,F,H,49518.0,A,4,20,19,50,93
963,0,39761,,15.0,13.5,10.5,13.5,23,52,A,0,81.0,M,H,76873.0,A,4,10,17,32,39
964,1,33393,10.0,25.0,22.5,22.5,20.0,26,33,A,0,46.0,F,H,76873.0,A,3,3,16,42,38
965,0,39632,,10.0,8.83,7.22,8.25,20,80,S,1,58.0,F,H,76873.0,S,10,28,19,48,87
966,1,39667,15.0,15.0,15.0,13.71,15.0,20,92,A,1,75.0,M,H,38794.0,A,6,14,19,50,86
967,1,39770,20.0,10.0,12.5,11.0,15.0,20,40,A,0,,F,U,61343.0,A,6,7,18,47,48
968,0,39816,,30.0,30.0,14.75,,26,83,A,0,72.0,F,U,0.0,A,1,6,7,19,35
969,0,39862,,50.0,50.0,50.0,,16,16,F,0,63.0,F,H,71392.0,Others,1,1,17,22,20
